broadcast_name,country_code,driver_number,first_name,full_name,last_name,meeting_key,name_acronym,session_key,team_colour,team_name
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1213,VER,9118,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1213,PER,9118,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1213,VER,9282,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1213,PER,9282,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1214,VER,9119,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1214,PER,9119,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1214,VER,9120,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1214,PER,9120,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1214,VER,9121,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1214,PER,9121,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1214,VER,9122,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1214,PER,9122,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1214,VER,9126,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1214,PER,9126,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1215,VER,9127,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1215,PER,9127,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1215,VER,9128,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1215,PER,9128,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1215,VER,9129,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1215,PER,9129,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1215,VER,9133,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1215,PER,9133,3671C6,Red Bull Racing
P ARON,NED,1,Max,Paul ARON,Verstappen,1215,ARO,9223,3671C6,Red Bull Racing
M BOYA,MEX,11,Sergio,Mari BOYA,Perez,1215,BOY,9223,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1216,VER,9134,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1216,PER,9134,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1216,VER,9135,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1216,PER,9135,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1216,VER,9140,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1216,PER,9140,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1216,VER,9141,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1216,PER,9141,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1216,VER,9286,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1216,PER,9286,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1217,VER,9142,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1217,PER,9142,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1217,VER,9143,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1217,PER,9143,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1217,VER,9144,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1217,PER,9144,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1217,VER,9145,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1217,PER,9145,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1217,VER,9149,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1217,PER,9149,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1218,VER,9150,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1218,PER,9150,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1218,VER,9151,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1218,PER,9151,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1218,VER,9152,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1218,PER,9152,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1218,VER,9153,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1218,PER,9153,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1218,VER,9157,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1218,PER,9157,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1219,VER,9158,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1219,PER,9158,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1219,VER,9159,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1219,PER,9159,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1219,VER,9160,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1219,PER,9160,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1219,VER,9161,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1219,PER,9161,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1219,VER,9165,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1219,PER,9165,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1220,VER,9166,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1220,PER,9166,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1220,VER,9167,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1220,PER,9167,3671C6,Red Bull Racing
M VERSTAPPEN,NED,1,Max,Max VERSTAPPEN,Verstappen,1220,VER,9168,3671C6,Red Bull Racing
S PEREZ,MEX,11,Sergio,Sergio PEREZ,Perez,1220,PER,9168,3671C6,Red Bull Racing
